udi,product_id,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,Heat Dissipation Failure,No Failure,Overstrain Failure,Power Failure,Random Failures,Tool Wear Failure
8668,M23527,297,308,1455,46,147,0,1,0,0,0,0
8004,M22863,300,312,1274,67,159,0,0,0,1,0,0
7569,L54748,300,311,1627,33,147,0,1,0,0,0,0
3680,L50859,302,311,1725,34,170,0,1,0,0,0,0
2072,M16931,299,309,1313,60,186,0,1,0,0,0,0
9639,H39052,299,310,1393,44,162,0,1,0,0,0,0
7962,L55141,301,312,1264,59,57,0,1,0,0,0,0
7860,M22719,300,311,1370,44,20,0,1,0,0,0,0
6627,L53806,301,310,1613,42,97,0,1,0,0,0,0
8040,L55219,300,311,1560,31,21,0,1,0,0,0,0
1018,L48197,296,307,1637,31,27,0,1,0,0,0,0
2861,H32274,300,309,1463,49,235,0,0,1,0,0,0
6717,L53896,301,310,1387,53,94,0,1,0,0,0,0
2817,L49996,300,309,1434,47,127,0,1,0,0,0,0
7253,H36666,300,310,1501,42,212,0,1,0,0,0,0
1948,L49127,298,308,1462,49,69,0,1,0,0,0,0
8280,L55459,298,310,1803,25,209,0,1,0,0,0,0
4438,L51617,302,310,1578,31,139,0,1,0,0,0,0
5959,L53138,300,310,1533,38,117,0,1,0,0,0,0
7684,L54863,300,311,1524,43,222,0,1,0,0,0,0
454,L47633,297,308,1510,36,92,0,1,0,0,0,0
8731,H38144,297,308,1569,33,93,0,1,0,0,0,0
1593,L48772,298,308,1592,38,211,0,1,0,0,0,0
1775,M16634,298,308,1519,37,29,0,1,0,0,0,0
7803,L54982,299,311,1429,58,103,0,1,0,0,0,0
3061,L50240,300,309,1882,23,84,0,1,0,0,0,0
8766,L55945,297,308,1353,49,188,0,1,0,0,0,0
5810,H35223,301,311,1580,36,184,0,1,0,0,0,0
9014,H38427,297,308,1435,43,202,0,1,0,0,0,0
9658,L56837,299,310,1484,39,212,0,1,0,0,0,0
8301,L55480,298,310,1558,37,44,0,1,0,0,0,0
3127,L50306,300,309,1499,35,46,0,1,0,0,0,0
4958,M19817,303,312,1768,23,149,0,1,0,0,0,0
9445,L56624,298,308,2136,15,78,0,1,0,0,0,0
8861,M23720,297,309,1488,37,30,0,1,0,0,0,0
1175,M16034,297,308,1352,44,0,0,1,0,0,0,0
6602,M21461,301,310,1347,47,29,0,1,0,0,0,0
7343,M22202,299,310,1661,34,6,0,1,0,0,0,0
5056,H34469,303,312,1378,45,184,0,1,0,0,0,0
654,L47833,297,309,2015,20,161,0,1,0,0,0,0
6264,M21123,301,310,1698,27,14,0,1,0,0,0,0
6775,H36188,301,310,1747,27,35,0,1,0,0,0,0
9787,M24646,298,309,1738,27,79,0,1,0,0,0,0
462,L47641,297,308,1402,40,114,0,1,0,0,0,0
9292,L56471,298,309,1353,57,89,0,1,0,0,0,0
9688,M24547,299,310,1649,31,41,0,1,0,0,0,0
5388,L52567,302,312,1433,50,216,0,1,0,0,0,0
5492,M20351,302,312,1350,58,2,0,0,0,0,0,0
9965,L57144,298,307,1766,26,145,0,1,0,0,0,0
6671,L53850,301,310,1998,20,210,0,1,0,0,0,0
9746,L56925,298,310,1611,32,183,0,1,0,0,0,0
6379,L53558,300,309,1514,44,98,0,1,0,0,0,0
7676,L54855,300,311,1447,45,204,0,1,0,0,0,0
138,L47317,298,308,1297,55,148,0,1,0,0,0,0
9010,L56189,297,307,1579,34,193,0,1,0,0,0,0
576,M15435,297,309,1410,55,188,0,0,0,1,0,0
3714,L50893,302,311,1565,35,41,0,1,0,0,0,0
2874,H32287,300,309,1555,37,24,0,1,0,0,0,0
5404,L52583,302,312,1858,25,2,0,1,0,0,0,0
8036,L55215,300,311,1910,19,13,0,1,0,0,0,0
7708,H37121,300,311,1679,27,59,0,1,0,0,0,0
2955,H32368,300,309,1691,28,36,0,1,0,0,0,0
1295,L48474,298,309,1486,40,126,0,1,0,0,0,0
4861,M19720,303,312,1504,49,109,0,1,0,0,0,0
2066,L49245,299,309,1419,45,170,0,1,0,0,0,0
7057,M21916,300,310,1409,50,141,0,1,0,0,0,0
861,H30274,296,306,1541,32,33,0,1,0,0,0,0
3151,L50330,300,309,1513,32,117,0,1,0,0,0,0
5601,L52780,302,312,1487,36,84,0,1,0,0,0,0
4091,L51270,302,310,2197,15,133,0,1,0,0,0,0
3588,H33001,301,310,1478,38,141,0,1,0,0,0,0
8215,L55394,299,310,1391,45,38,0,1,0,0,0,0
3974,L51153,302,311,1535,41,77,0,1,0,0,0,0
8514,M23373,298,309,1478,36,182,0,1,0,0,0,0
9293,L56472,298,309,1643,34,91,0,1,0,0,0,0
6525,L53704,301,310,1874,24,47,0,1,0,0,0,0
5940,L53119,300,310,1409,60,73,0,1,0,0,0,0
5201,L52380,303,312,1416,58,156,0,1,0,0,0,0
9039,L56218,297,308,2358,14,49,0,1,0,0,0,0
1605,L48784,297,307,1452,39,21,0,1,0,0,0,0
8833,L56012,297,308,1651,34,163,0,1,0,0,0,0
7638,H37051,300,311,1445,52,105,0,1,0,0,0,0
6075,M20934,301,310,1533,39,194,0,1,0,0,0,0
445,L47624,297,308,1582,37,68,0,1,0,0,0,0
6191,L53370,300,310,1749,26,40,0,1,0,0,0,0
3343,L50522,301,310,1382,52,165,0,1,0,0,0,0
3783,L50962,302,310,1827,23,9,0,1,0,0,0,0
4637,L51816,303,311,1466,43,210,0,1,0,0,0,0
3290,M18149,301,310,1295,56,39,0,1,0,0,0,0
3429,L50608,301,310,1391,49,164,0,1,0,0,0,0
2381,L49560,299,308,1242,60,117,0,1,0,0,0,0
8790,L55969,297,308,1471,43,45,0,1,0,0,0,0
4615,H34028,303,311,1503,37,152,0,1,0,0,0,0
5324,M20183,303,312,1399,48,34,0,1,0,0,0,0
295,M15154,298,308,1372,51,116,0,1,0,0,0,0
1025,L48204,296,307,1711,29,42,0,1,0,0,0,0
5689,M20548,302,311,1423,44,93,0,1,0,0,0,0
8118,L55297,300,311,1406,47,14,0,1,0,0,0,0
7554,L54733,300,311,1505,39,107,0,1,0,0,0,0
8748,L55927,297,308,1504,42,142,0,1,0,0,0,0
7649,L54828,300,311,1552,28,135,0,1,0,0,0,0
2327,M17186,299,308,1487,52,205,0,1,0,0,0,0
5714,L52893,302,311,1596,38,156,0,1,0,0,0,0
3218,L50397,300,309,2025,21,64,0,1,0,0,0,0
2403,L49582,299,308,1325,51,171,0,1,0,0,0,0
5161,L52340,304,313,1434,50,43,0,1,0,0,0,0
6916,L54095,301,311,1484,36,188,0,1,0,0,0,0
6408,M21267,300,309,1611,29,177,0,1,0,0,0,0
7212,L54391,299,309,1431,40,101,0,1,0,0,0,0
2449,L49628,299,308,1440,42,87,0,1,0,0,0,0
5921,L53100,300,310,1764,25,27,0,1,0,0,0,0
5426,L52605,302,312,1775,27,56,0,1,0,0,0,0
9678,L56857,299,310,2033,19,15,0,1,0,0,0,0
3748,L50927,302,311,1499,38,135,0,1,0,0,0,0
7936,M22795,300,311,1356,44,214,0,1,0,0,0,0
4022,H33435,302,310,1452,42,198,0,1,0,0,0,0
2044,M16903,299,309,1597,30,115,0,1,0,0,0,0
3817,L50996,302,310,1459,47,93,0,1,0,0,0,0
3848,M18707,302,311,1450,45,175,0,1,0,0,0,0
8811,M23670,297,308,1625,32,92,0,1,0,0,0,0
4058,L51237,302,310,1495,38,52,0,1,0,0,0,0
312,M15171,298,308,1453,44,165,0,1,0,0,0,0
7654,L54833,300,311,1492,44,149,0,1,0,0,0,0
1369,H30782,298,310,1708,27,78,0,1,0,0,0,0
4886,H34299,303,312,1748,25,175,0,1,0,0,0,0
2386,L49565,299,308,1524,34,128,0,1,0,0,0,0
7680,L54859,300,311,1635,32,213,0,1,0,0,0,0
6788,H36201,301,310,1388,58,68,0,1,0,0,0,0
5405,H34818,302,312,1422,46,4,0,1,0,0,0,0
363,H29776,297,308,1640,30,79,0,1,0,0,0,0
4565,L51744,302,310,1516,39,23,0,1,0,0,0,0
177,L47356,298,308,1618,34,39,0,1,0,0,0,0
1433,L48612,298,309,1437,42,23,0,1,0,0,0,0
2142,M17001,299,308,1577,34,160,0,1,0,0,0,0
3173,M18032,300,309,1488,41,172,0,1,0,0,0,0
987,H30400,296,307,1638,32,146,0,1,0,0,0,0
4889,L52068,303,312,1512,39,184,0,1,0,0,0,0
8336,M23195,299,309,2240,15,144,0,1,0,0,0,0
9946,L57125,298,308,1578,37,101,0,1,0,0,0,0
2141,L49320,299,309,1419,46,158,0,1,0,0,0,0
7628,L54807,300,311,1445,44,83,0,1,0,0,0,0
8394,L55573,298,309,1428,43,87,0,1,0,0,0,0
8757,L55936,297,308,1761,26,164,0,1,0,0,0,0
7811,L54990,300,311,2218,17,123,0,1,0,0,0,0
8165,L55344,299,310,1472,40,137,0,1,0,0,0,0
5156,H34569,304,313,1625,37,27,0,1,0,0,0,0
3646,L50825,302,311,1413,43,83,0,1,0,0,0,0
2157,M17016,299,308,1457,41,201,0,1,0,0,0,0
6596,M21455,301,310,1460,38,14,0,1,0,0,0,0
3230,L50409,300,309,1442,43,96,0,1,0,0,0,0
9801,H39214,298,309,1421,50,124,0,1,0,0,0,0
7158,L54337,300,310,1486,40,182,0,1,0,0,0,0
6002,M20861,300,310,1380,47,5,0,1,0,0,0,0
8510,M23369,298,309,1870,22,170,0,1,0,0,0,0
7880,M22739,300,312,1535,40,71,0,1,0,0,0,0
9442,L56621,298,308,1432,43,68,0,1,0,0,0,0
1491,L48670,298,309,1341,43,171,0,1,0,0,0,0
460,L47639,297,308,1476,42,107,0,1,0,0,0,0
3574,L50753,301,310,1452,48,110,0,1,0,0,0,0
8883,L56062,298,309,1378,49,94,0,1,0,0,0,0
1951,M16810,298,307,1479,47,76,0,1,0,0,0,0
2325,L49504,299,308,1636,29,201,0,1,0,0,0,0
737,L47916,296,308,1555,38,175,0,1,0,0,0,0
1591,L48770,298,308,1497,37,207,0,1,0,0,0,0
4933,L52112,303,312,1418,44,83,0,1,0,0,0,0
5437,M20296,302,312,1679,30,79,0,1,0,0,0,0
4198,L51377,302,311,1573,36,193,0,1,0,0,0,0
15,L47194,298,309,2035,19,40,0,1,0,0,0,0
5719,L52898,302,312,1621,32,169,0,1,0,0,0,0
7695,H37108,300,311,1500,36,17,0,1,0,0,0,0
9062,M23921,297,308,1863,26,110,0,1,0,0,0,0
3847,L51026,302,310,1403,47,173,0,1,0,0,0,0
1043,L48222,296,307,1542,37,88,0,1,0,0,0,0
1388,L48567,298,310,1823,26,131,0,1,0,0,0,0
4300,L51479,301,310,1402,50,3,0,1,0,0,0,0
3062,L50241,300,309,1353,58,86,0,1,0,0,0,0
7140,L54319,300,310,1495,42,132,0,1,0,0,0,0
1087,L48266,297,307,1455,49,204,0,1,0,0,0,0
8225,L55404,299,310,1496,35,60,0,1,0,0,0,0
8697,L55876,297,308,1413,49,12,0,1,0,0,0,0
2510,L49689,299,308,1511,35,16,0,1,0,0,0,0
2484,M17343,298,308,1402,49,167,0,1,0,0,0,0
6136,L53315,301,310,1740,28,129,0,1,0,0,0,0
8072,L55251,300,312,1646,29,106,0,1,0,0,0,0
5468,L52647,302,312,1383,51,160,0,1,0,0,0,0
1537,M16396,298,308,1326,54,75,0,1,0,0,0,0
1372,M16231,298,310,1495,38,88,0,1,0,0,0,0
9153,L56332,297,308,1260,53,137,0,1,0,0,0,0
7834,L55013,300,311,1604,38,185,0,1,0,0,0,0
2535,L49714,298,308,1729,26,73,0,1,0,0,0,0
641,M15500,297,309,1515,38,124,0,1,0,0,0,0
8544,M23403,298,309,1365,48,56,0,1,0,0,0,0
8590,M23449,297,307,1538,48,171,0,1,0,0,0,0
7368,M22227,299,310,1359,61,67,0,1,0,0,0,0
778,L47957,296,307,1382,47,37,0,1,0,0,0,0
6015,H35428,300,310,1618,32,40,0,1,0,0,0,0
50,M14909,298,309,1412,44,140,0,1,0,0,0,0
4915,M19774,303,312,1532,41,32,0,1,0,0,0,0
7937,L55116,300,311,1490,46,217,0,1,0,0,0,0
6097,M20956,300,310,1483,40,28,0,1,0,0,0,0
4855,L52034,303,312,1568,33,96,0,1,0,0,0,0
8491,M23350,298,309,1364,58,123,0,1,0,0,0,0
3268,L50447,301,310,1550,41,197,0,1,0,0,0,0
2860,L50039,300,309,1549,43,233,0,1,0,0,0,0
2882,M17741,300,309,1588,37,50,0,1,0,0,0,0
7921,L55100,300,312,1382,49,177,0,1,0,0,0,0
1532,H30945,298,309,1438,41,60,0,1,0,0,0,0
773,H30186,296,308,1453,51,24,0,1,0,0,0,0
410,L47589,297,308,1459,41,196,0,1,0,0,0,0
9968,M24827,298,307,1609,32,151,0,1,0,0,0,0
1451,M16310,299,310,1447,39,78,0,1,0,0,0,0
7872,L55051,300,312,1308,54,52,0,1,0,0,0,0
1248,L48427,297,308,1513,42,212,0,1,0,0,0,0
4169,L51348,302,310,1632,30,122,0,1,0,0,0,0
7251,M22110,300,310,1429,42,206,0,1,0,0,0,0
1645,L48824,298,307,1622,33,121,0,1,0,0,0,0
4112,M18971,302,310,1563,41,184,0,1,0,0,0,0
7632,L54811,300,311,1444,49,92,0,1,0,0,0,0
3533,L50712,301,310,1486,40,6,0,1,0,0,0,0
483,L47662,297,309,1548,37,171,0,1,0,0,0,0
3047,M17906,300,309,1501,40,48,0,1,0,0,0,0
3287,L50466,301,310,1618,37,32,0,1,0,0,0,0
2653,L49832,299,309,1772,23,167,0,1,0,0,0,0
3770,M18629,302,311,1436,47,187,0,1,0,0,0,0
9111,M23970,297,308,1389,49,34,0,1,0,0,0,0
4585,L51764,302,311,1550,32,76,0,1,0,0,0,0
9986,H39399,298,308,1572,35,202,0,1,0,0,0,0
8709,M23568,297,308,1364,54,43,0,1,0,0,0,0
8708,L55887,297,308,1471,41,41,0,1,0,0,0,0
8229,M23088,299,310,1422,49,69,0,1,0,0,0,0
4790,L51969,303,312,1646,35,143,0,1,0,0,0,0
6530,L53709,301,310,1481,40,57,0,1,0,0,0,0
4298,M19157,301,310,1609,34,217,0,1,0,0,0,0
5513,L52692,302,312,1682,30,58,0,1,0,0,0,0
2831,M17690,300,309,1411,41,160,0,1,0,0,0,0
879,M15738,295,306,1685,34,84,0,1,0,0,0,0
7180,L54359,300,310,1523,42,25,0,1,0,0,0,0
5599,L52778,302,312,1441,52,79,0,1,0,0,0,0
2686,L49865,299,309,1609,32,27,0,1,0,0,0,0
2159,M17018,299,309,1399,49,207,0,1,0,0,0,0
706,L47885,297,309,1507,38,94,0,1,0,0,0,0
7650,H37063,300,311,1662,29,137,0,1,0,0,0,0
6299,L53478,301,310,1428,44,103,0,1,0,0,0,0
6358,L53537,300,309,1398,54,39,0,1,0,0,0,0
9683,L56862,299,310,1394,46,27,0,1,0,0,0,0
977,M15836,296,306,1392,51,124,0,1,0,0,0,0
1255,H30668,297,308,1430,49,2,0,1,0,0,0,0
7580,L54759,300,311,1436,56,173,0,1,0,0,0,0
3666,M18525,302,311,1358,50,133,1,0,0,0,0,0
9555,M24414,299,310,1440,45,146,0,1,0,0,0,0
3655,L50834,302,311,1603,35,104,0,1,0,0,0,0
6022,L53201,300,310,1814,21,59,0,1,0,0,0,0
7835,L55014,300,311,1483,45,187,0,1,0,0,0,0
9233,L56412,298,309,1350,52,136,0,1,0,0,0,0
9400,L56579,297,308,1477,44,170,0,1,0,0,0,0
3712,L50891,302,311,1543,38,37,0,1,0,0,0,0
4899,H34312,303,312,1460,53,214,1,0,0,0,0,0
4639,L51818,303,311,1474,34,215,0,1,0,0,0,0
7171,M22030,300,310,1442,39,4,0,1,0,0,0,0
8892,M23751,297,308,1681,28,116,0,1,0,0,0,0
8223,L55402,299,310,1755,27,56,0,1,0,0,0,0
8551,L55730,298,309,1456,45,75,0,1,0,0,0,0
3194,L50373,300,309,1401,44,0,0,1,0,0,0,0
8902,L56081,297,308,1446,50,144,0,1,0,0,0,0
6990,M21849,300,311,1608,35,167,0,1,0,0,0,0
8650,L55829,297,308,1328,61,98,0,1,0,0,0,0
3820,L50999,302,310,1567,36,100,0,1,0,0,0,0
1072,L48251,296,307,1425,49,163,0,1,0,0,0,0
9531,H38944,299,310,1405,53,86,0,1,0,0,0,0
2868,H32281,300,309,1390,48,7,0,1,0,0,0,0
472,H29885,297,308,1419,42,139,0,1,0,0,0,0
9923,H39336,298,308,1566,39,36,0,1,0,0,0,0
8260,L55439,299,310,1471,38,146,0,1,0,0,0,0
9121,L56300,297,308,1525,38,62,0,1,0,0,0,0
1209,L48388,297,308,1489,44,96,0,1,0,0,0,0
4232,L51411,302,310,1340,47,54,1,0,0,0,0,0
3980,L51159,302,311,1439,41,96,0,1,0,0,0,0
4110,M18969,301,310,1475,47,179,0,1,0,0,0,0
4517,L51696,302,310,1539,39,119,0,1,0,0,0,0
6161,L53340,301,310,1570,34,192,0,1,0,0,0,0
1219,M16078,297,308,1702,30,124,0,1,0,0,0,0
7127,M21986,300,310,1542,33,100,0,1,0,0,0,0
91,L47270,298,308,1753,25,33,0,1,0,0,0,0
9898,L57077,298,309,1357,47,176,0,1,0,0,0,0
8566,L55745,298,308,1489,36,109,0,1,0,0,0,0
1957,M16816,297,307,1364,46,89,0,1,0,0,0,0
9283,M24142,298,308,1414,44,68,0,1,0,0,0,0
502,M15361,297,309,1464,46,218,0,1,0,0,0,0
3088,M17947,300,309,1474,45,152,0,1,0,0,0,0
2181,H31594,299,309,1597,36,35,0,1,0,0,0,0
2559,M17418,299,309,1881,23,137,0,1,0,0,0,0
2103,L49282,299,309,1325,62,47,0,1,0,0,0,0
757,L47936,296,308,1584,40,227,0,1,0,0,0,0
9018,M23877,297,308,1369,52,214,0,0,1,0,0,0
6220,H35633,301,310,1407,43,111,0,1,0,0,0,0
6557,L53736,301,310,1686,27,135,0,1,0,0,0,0
5244,L52423,303,313,1721,34,50,0,1,0,0,0,0
7260,M22119,300,310,1500,43,9,0,1,0,0,0,0
1908,L49087,297,307,1504,42,180,0,1,0,0,0,0
4810,L51989,303,312,1656,32,195,0,1,0,0,0,0
740,L47919,296,308,1390,41,184,0,1,0,0,0,0
393,M15252,297,308,1490,43,154,0,1,0,0,0,0
